ligand,sender_evidence_level,baseline_sender_robustness,paracrine_scope,licensing_context,best_phase4a_tier,tier_A_axis_n,tier_B_axis_n,tier_C_axis_n,receptor_competent_module_n,target_compatible_module_n,reversal_supported_module_n,disease_concordant_module_n,mixed_signed_direction_across_modules,disease_concordant_modules,tier_A_modules,tier_B_modules,interpretation,ordering_rule,source_url
CLEC11A,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CLMP,S2,ROBUST_BASELINE_SENDER,P3_FULL_LR_SENSITIVITY,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,3,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CLU,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,4,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL12A1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL16A1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL1A2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,0,5,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL27A1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL3A1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,0,5,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL4A2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,1,4,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL5A2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,0,5,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL6A2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,0,5,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL6A3,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,0,5,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL8A1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COPA,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CTHRC1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,5,4,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CTSD,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CXCL1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CXCL2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,3,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CXCL3,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CXCL5,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CXCL6,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
DKK3,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
EDIL3,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
EFEMP1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
EFEMP2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,2,1,3,3,0,0,NO,,,PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
EMC1,S2,ROBUST_BASELINE_SENDER,P3_FULL_LR_SENSITIVITY,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ENG,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
EZR,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,2,3,6,5,2,1,YES,PROGRAM_MODULE_01,,PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
FAM3C,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,6,5,0,3,NO,PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
FAP,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,3,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
FBLN1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
FBN1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
FGF7,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,6,5,0,2,NO,PROGRAM_MODULE_06;PROGRAM_MODULE_07,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
FLRT2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,4,4,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
GLG1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
GNAS,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,5,4,1,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
GPI,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HAS2,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HEBP1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,3,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HLA-A,S1,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HLA-B,S1,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,4,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HLA-C,S1,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,3,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HMGB1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,0,3,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HSP90B1,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,4,6,5,0,5,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
IGFBP4,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
IL15,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,5,5,0,4,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
IL1B,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,1,4,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_06;PROGRAM_MODULE_07,,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
INHBA,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,1,4,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_06;PROGRAM_MODULE_07,,PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ITM2B,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
